proposal_id,triad_id,historian_name,historian_position,research_question,abstract,selected_sources,text_source_ids,image_source_ids,n_text_sources,n_image_sources,created_at
1,1,John Marincola,1,"How does the Arthaśāstra, as a historical text, utilize rhetorical and traditional elements to assert its authority and influence on political governance in ancient India?","The Arthaśāstra, attributed to Kauṭilya, stands as a significant treatise on governance and statecraft in ancient India. This research will explore how the text asserts its authority through rhetorical strategies and the invocation of tradition, comparing these elements to similar practices in Greek and Roman historiography. The study will examine the text's methodological claims to veracity and reliability, situating it within the broader context of ancient historiographical practices, which blend philosophy, politics, and historical narrative to establish credibility and influence.","Source 2, Source 3","fa0c2ee0-1ea5-4c25-9e14-85f2ed1b19e9,d468ab42-3884-4344-ad4a-4a703636fd6a,f4ec8f9b-7107-4263-be45-63839cd8d9e5",,3,0,2026-03-13 09:22:42.108849
2,1,David F. Noble,2,"How have technological advancements in the 20th century shaped the socio-political landscape of the United States, as reflected in historical narratives?","The 20th century witnessed unprecedented technological growth that significantly influenced the socio-political dynamics of the United States. This research explores how these advancements are portrayed in historical narratives, emphasizing the interplay between technology and society. By examining ""Tragedy and Hope"" and ""The Oxford History Of The American People,"" we can discern the shifting relationship between technological progress and national identity, particularly how innovations in industry, communication, and warfare reshaped American political and social structures. These narratives provide insight into the broader implications of technology on historical processes and cultural transformations.","Source 1, Source 3","921f089c-8edf-40dd-a0cf-c005975f7c08,411eaadb-2b9d-490e-b5e3-156001227989,5231a679-05dd-4a3f-bdbf-7d46c2771439",,3,0,2026-03-13 09:22:42.114568
3,1,Claude S. Fischer,3,How did the expansion and commercialization of the telephone industry impact social relations and economic opportunities in American communities in the early to mid-20th century?,"The widespread adoption and commercialization of the telephone in the early to mid-20th century significantly altered social dynamics and economic opportunities in American communities. The Northwestern Bell Telephone Company's 1956 report highlights the substantial growth in telephone services, reflecting a broader trend of increased connectivity that facilitated social interactions and economic engagements across five states. The early skepticism surrounding the telephone's utility, as illustrated by past stock solicitations, underscores the transformative nature of the technology from a novel invention to a critical component of everyday life. This evolution not only reshaped personal and community relationships but also offered new avenues for financial independence and business innovation.","Source 1, Source 2","9f057df4-1a37-4381-9330-b1eb52be0fa8,b61d6063-352e-460a-a3a1-5b4b5b421d03,1fc82526-64da-4839-9258-0989b84da432",,3,0,2026-03-13 09:22:42.120917
4,2,John Marincola,1,How does the Arthaśāstra's approach to governance and law reflect the historiographical traditions and authority claims of ancient Indian political thought?,"The Arthaśāstra, attributed to Kauṭilya, offers a comprehensive analysis of governance and law in ancient India, illustrating the intricate interplay between political philosophy and historiographical authority. This text exemplifies the ancient historians' methods of establishing credibility through detailed documentation and philosophical discourse, akin to the approaches observed in Greek and Roman historiography. By examining the Arthaśāstra, we can discern how Kauṭilya constructs his authority and positions his work within the broader tradition of historical writing, thus contributing to our understanding of historiographical practices across cultures.","Source 2, Source 1","fa0c2ee0-1ea5-4c25-9e14-85f2ed1b19e9,d468ab42-3884-4344-ad4a-4a703636fd6a,f4ec8f9b-7107-4263-be45-63839cd8d9e5",,3,0,2026-03-13 09:22:58.923909
5,2,Nancy C. M. Hartsock,2,How did the contributions of women to the labor force in the late 19th and early 20th centuries challenge and transform existing patriarchal structures within American society?,"In examining the role of women in the labor force during the late 19th and early 20th centuries, it becomes evident that their increasing participation served as a critical site of resistance against patriarchal domination. Women's America: Refocusing the Past provides a comprehensive overview of women's employment and political activities, illustrating how these endeavors contested traditional gender roles and forged new paths for female agency. Additionally, the proceedings from The International Congress of Women of 1899 reveal the diverse ways in which women engaged in industrial life, education, and politics, highlighting their active role in reshaping societal norms and contributing to a nascent feminist historical materialism that interrogates both class and gender dynamics.","Source 1, Source 2","1649d640-1cf1-475a-abd3-f478e0ff2f2c,8dc5eebf-9315-445b-816e-4386eb58315b,a6eaba2e-1f45-4f05-b7d5-35bad1b2cfdc",,3,0,2026-03-13 09:22:58.928816
6,2,David F. Noble,3,How do narratives of American history reflect and perpetuate the ideology of technological progress from the late 19th to mid-20th century?,"The narratives found in American history texts, such as those by Samuel Eliot Morison and the collaborative American Yawp project, reveal a distinct ideological commitment to the notion of technological progress as a driver of historical development. This perspective often frames technological advancement as an inevitable and largely beneficial force, aligning with broader narratives of American exceptionalism and modernization. By examining these texts, we can interrogate the ways in which technological determinism shapes historical interpretation and understand its impact on both academic and popular perceptions of the past. This analysis also highlights the potential biases inherent in these accounts and the implications for understanding the socio-economic transformations of the 20th century.","Source 2, Source 3","921f089c-8edf-40dd-a0cf-c005975f7c08,411eaadb-2b9d-490e-b5e3-156001227989,5231a679-05dd-4a3f-bdbf-7d46c2771439",,3,0,2026-03-13 09:22:58.934834
7,3,David F. Noble,1,How did the interplay between technological advancement and socio-economic structures shape American society between 1890 and 1960?,"The period from 1890 to 1960 in American history was marked by significant technological advancements that influenced socio-economic structures, leading to profound changes in the fabric of American society. This research investigates how these technological changes, particularly in industrial and communication sectors, interacted with existing economic and social systems, fostering new forms of labor and social organization. By examining the narratives and interpretations provided by both sweeping historical analyses and detailed accounts, this study aims to uncover the dynamics between technological progress and societal transformation, emphasizing the role of technology as both a catalyst for and a reflection of broader historical trends.","Source 1, Source 3","921f089c-8edf-40dd-a0cf-c005975f7c08,411eaadb-2b9d-490e-b5e3-156001227989,5231a679-05dd-4a3f-bdbf-7d46c2771439",,3,0,2026-03-13 09:23:21.486199
8,3,Gyan Prakash,2,How does the narrative of indigenous resistance challenge and reframe the Eurocentric historiography of American colonization?,"The narrative of indigenous resistance offers a critical counterpoint to the Eurocentric historiography that traditionally frames colonization as a civilizing mission. By examining the alternative histories presented in ""500 Years of Indigenous Resistance,"" one can discern a narrative of colonization as an act of genocide rather than mutual benefit. This perspective is crucial in deconstructing the dominant paradigms of colonial history, allowing for a postcolonial critique that recognizes the agency and resilience of indigenous populations. The juxtaposition of these narratives within the broader context of postcolonial discourse facilitates a deeper understanding of the complexities and enduring legacies of colonialism in the Americas.","Source 1, Source 2","d7a13c59-f54e-4871-8969-a770ff1278af,55fcb557-5bf5-4031-a678-78f389083a49,41e3e0cf-1b24-4b1e-be49-8bf7ced43ad2",,3,0,2026-03-13 09:23:21.491145
9,3,Claude S. Fischer,3,"How did the integration of telephone technology into American society between the early 20th century and the mid-1950s reflect broader social and economic transformations, particularly in relation to consumer adoption and corporate expansion?","The evolution of telephone technology from a nascent industry to a ubiquitous element of American life is illustrative of broader societal shifts, including economic growth and changing social dynamics. Source 2 highlights the initial skepticism towards the telephone and the eventual financial success it brought to early investors, underscoring the rapid technological adoption and economic opportunities that characterized the early 20th century. By contrast, Source 1 reveals the telephone's entrenchment in American life by the 1950s, with Northwestern Bell Telephone Company's expansion reflecting not only technological advancements but also the growing consumer demand and the role of telephony in connecting increasingly mobile and dispersed communities. Together, these sources illustrate the telephone's transition from a novel curiosity to an essential tool for personal and economic connectivity.","Source 1, Source 2","9f057df4-1a37-4381-9330-b1eb52be0fa8,b61d6063-352e-460a-a3a1-5b4b5b421d03,1fc82526-64da-4839-9258-0989b84da432",,3,0,2026-03-13 09:23:21.500322
10,4,David F. Noble,1,How have collaborative and synthetic narratives in American history textbooks influenced the interpretation of technological progress and its socio-economic impacts from the late 19th to mid-20th century?,"The evolution of American historical narratives, particularly in educational contexts, reflects broader societal understandings of technological progress and its socio-economic ramifications. By analyzing ""The American Yawp,"" a collaborative textbook that integrates contemporary historical scholarship, alongside ""The Oxford History Of The American People,"" which offers a narrative blending political, social, and economic perspectives, we uncover shifting interpretations of technology's role in shaping American life. These texts reveal how the collective academic endeavor informs and transforms public comprehension of technological advancement and its consequences, emphasizing a transition from individualistic to more collective historical storytelling.","Source 2, Source 3","921f089c-8edf-40dd-a0cf-c005975f7c08,411eaadb-2b9d-490e-b5e3-156001227989,5231a679-05dd-4a3f-bdbf-7d46c2771439",,3,0,2026-03-13 09:23:35.546841
