proposal_id,triad_id,historian_name,historian_position,research_question,abstract,selected_sources,n_text_sources,n_image_sources,created_at
1,1,Ellen Meiksins Wood,1,"How do the historical developments and ideological shifts within Marxian-inspired movements reflect the interplay between economic systems and political structures, particularly in the context of their potential to challenge or reinforce capitalist democracy?","This research explores the historical and ideological evolution of Marxian-inspired movements, focusing on their critique of capitalist democracy and their strategies for political engagement. By examining archived websites documenting the history of these movements and analyzing political ideologies, we aim to illuminate how these movements interpret and propose to transcend the separation of the ‘economic’ and the ‘political’ in capitalism. The study seeks to understand the conditions under which Marxian doctrines have either been co-opted by or have fundamentally challenged the structures of capitalist political systems, with a particular emphasis on their potential to redefine democracy in a manner that transcends capitalist limitations.","Source 1, Source 2",3,0,2026-03-13 01:44:12.471546
2,1,Perry Anderson,2,How did the ideological and political discourses in the United States during the 20th century reflect broader historical materialist transformations and struggles?,"The examination of ideological and political discourses in the United States during the 20th century offers a lens through which to understand the broader transformations in historical materialism. Source 1, ""Tragedy and Hope,"" provides a sprawling narrative of world history from 1890 to 1960, a period marked by intense class struggles and ideological shifts, offering a comprehensive backdrop to the American experience within global processes. Source 3, ""Image 2 of Ohio Waisenfreund,"" published in 1941, captures the cultural and ideological anxieties in the U.S., particularly among German-Americans, reflecting the tensions and alignments within class and ethnic identities during a time of global conflict. Together, these sources illuminate the intersection of national and international forces shaping the trajectory of American political and social thought.","Source 1, Source 3",3,0,2026-03-13 01:44:12.473788
3,1,Bryan D. Palmer,3,How did the ideological conflicts within early 20th-century socialist movements reflect broader tensions between historical materialism and emerging critical theories?,"The early 20th-century socialist movements were marked by intense ideological conflicts, as evidenced by debates over Bolshevism and Trotskyism, and the writings of revolutionary figures like Gramsci. These debates reveal a broader tension between traditional historical materialism and emerging critical theories that sought to reinterpret Marxist doctrine. By examining primary sources such as ""The Daily Worker"" and drafts on revolutionary correspondence, we can understand how these ideological rifts were not merely theoretical but deeply influenced the strategic directions of socialist movements, highlighting the enduring relevance of historical materialism in the face of evolving critical discourses.","Source 1, Source 3",3,0,2026-03-13 01:44:12.475116
4,2,Ellen Meiksins Wood,1,"How have Marxian ideologies, specifically those related to Communism, Socialism, and Trotskyism, evolved in their critique and opposition to capitalism in the context of modern political movements?","The examination of Marxian ideologies—Communism, Socialism, and Trotskyism—reveals their enduring critique of capitalist systems, emphasizing collective ownership of the means of production and the political struggle of the working class. Despite the collapse of Communism in the late 20th century, these ideologies continue to shape political discourse and action, offering a vital counter-narrative to capitalist hegemony. By analyzing archived websites of Marxian-inspired entities and the historical development of political ideologies, this research explores the persistent relevance and adaptation of these doctrines in contemporary political movements, highlighting the ongoing struggle to transcend the limitations imposed by capitalism.","Source 1, Source 2",3,0,2026-03-13 01:44:25.166707
5,2,Perry Anderson,2,"How did the political dynamics of the mid-20th century relate to earlier patterns of societal and political reform movements in the United States, particularly in light of historical materialism?","This study examines the continuities and transformations in political reform movements in the United States from the mid-19th to the mid-20th century, utilizing a historical materialist framework. By juxtaposing the rhetoric and strategies evident in the 1941 Ohio Waisenfreund with those of the 1860 Greenville Advocate, the research seeks to understand how historical legacies of political rhetoric and the socio-economic context shaped reformist discourse over time. The analysis will consider how material conditions and class struggles influenced the articulation of societal problems and the proposed solutions, revealing underlying patterns of opposition to reform rooted in existing power structures.","Source 2, Source 3",3,0,2026-03-13 01:44:25.168090
6,2,David Harvey,3,How do historical transformations in communication technologies influence cultural practices and the perception of space and time?,"The emergence of folksonomies and collaborative tagging systems, as illustrated in the Folkscanomy Computer collection, signifies a shift in the classification and dissemination of knowledge, mirroring the flexible accumulation model in economic systems. This transition reflects a broader cultural and spatial transformation, akin to the postmodern condition characterized by time-space compression. The Daily National Intelligencer from 1852 provides a historical contrast, highlighting the role of newspapers in shaping social habits and communal spaces. Together, these sources reveal how changes in media technologies alter cultural practices and conceptions of space and time, contributing to the ongoing dialectic between modernity and postmodernity.","Source 1, Source 2",3,0,2026-03-13 01:44:25.169354
7,3,Perry Anderson,1,"How do the themes of social and political struggle in the mid-20th century compare to those of the pre-Civil War period in America, and what continuities can be discerned in the language and mechanisms of reform and resistance?","The examination of social and political struggles in historical contexts reveals enduring patterns and rhetorical strategies across eras. The mid-20th century, marked by global upheaval and shifting power dynamics as detailed in ""Tragedy and Hope,"" presents a landscape of ideological contestation that resonates with the pre-Civil War tensions observed in the United States. The Greenville Advocate of 1860 encapsulates the contentious debates over union and reform, echoing the strategic deployments of rhetoric seen in later periods. This comparative analysis underscores the persistent dialectic between reformist aspirations and conservative resistance, reflecting a broader continuity in the history of social movements.","Source 1, Source 2",3,0,2026-03-13 01:44:37.216802
8,3,Gyan Prakash,2,How do postcolonial critiques of Eurocentric narratives reshape our understanding of indigenous resistance and colonization in the Americas?,"In challenging Eurocentric narratives that frame colonization as a civilizing force, postcolonial critiques illuminate the history of indigenous resistance as a testament to the enduring agency and resilience of native populations. By re-examining the portrayal of colonization not as a mutually beneficial civilizing mission but as a violent imposition resulting in genocide and cultural erasure, we gain a nuanced understanding of the indigenous struggle for self-determination. This approach underscores the importance of reading colonization through a lens that acknowledges the hybrid and contested nature of historical narratives, thus displacing dominant historiographies that have traditionally marginalized indigenous perspectives.","Source 1, Source 2",3,0,2026-03-13 01:44:37.218014
9,3,Bryan D. Palmer,3,How did the ideological tensions and debates within early 20th-century Marxist movements reflect broader challenges to historical materialism and the development of revolutionary praxis?,"The primary sources reveal the ideological struggles within Marxist movements during the early 20th century, as exemplified by debates over Leninism and the works of unorthodox revolutionaries. These documents underscore the persistent challenge of reconciling revolutionary theory with practice, as seen in the critique of Trotsky's interpretation of Leninism and the call for a new revolutionary historiography post-2008. By examining these debates, this study illuminates the enduring relevance and adaptability of historical materialism, challenging postmodern critiques and reaffirming its interpretive power in understanding revolutionary dynamics.","Source 1, Source 3",3,0,2026-03-13 01:44:37.218987
10,4,Georg G. Iggers,1,How do educational resources like AMSCO AP World History influence the understanding and teaching of global historical narratives in the context of 20th-century historiographical developments?,"This study examines the role of educational texts, specifically AMSCO AP World History, in shaping perceptions of global history among students within the framework of 20th-century historiographical shifts. By analyzing the content and pedagogical approaches of these resources, the research explores the extent to which they incorporate diverse historiographical perspectives, including the influence of postmodern and postcolonial critiques. The investigation also considers how these texts reflect or diverge from the trends of global historiography, particularly the integration of non-Western historical narratives and the move towards a more inclusive understanding of world history.","Source 2, Source 3",3,0,2026-03-13 01:44:50.082779
