proposal_id,triad_id,historian_name,historian_position,research_question,abstract,selected_sources,text_source_ids,image_source_ids,n_text_sources,n_image_sources,created_at
1,1,John Marincola,1,"The rhetoric and portrayal of alliances during wartime, as evidenced by the collaboration between China and America against Japanese fascism, demonstrate a strategic use of media to assert political narratives and influence public perception during World War II.","The 1942 poster titled ""The United Strength of China and America will Destroy Japanese Fascism and Re-Establish World Peace"" reflects how wartime propaganda harnesses historical and rhetorical traditions to assert authority and influence global narratives. By examining this document, we see parallels to ancient historiographical practices where the construction of authority is achieved through strategic alliances and shared objectives against common adversaries. This source, in conjunction with the early 20th-century newspaper coverage of political movements such as the potential secession of the Indian Territory, highlights the enduring role of media in shaping political discourse and public sentiment.","Source 1, Source 3","3112b075-1fdc-41c7-a1f2-81276ee21c5d,0126eeee-9e9d-4dfb-815e-53ae7514b753,542a8046-e5ba-4213-bbcd-2ce3f537b66c","88b99851-32e2-48b8-8947-842848db3caf,598fd2e2-1f38-4a74-9a19-b92f587a7c7a",3,2,2026-03-13 15:37:36.882395
2,1,David F. Noble,2,"The transition of technological control and communication infrastructure in the post-World War I United States was characterized by significant political tension and debates about public versus private ownership, reflecting broader struggles between emerging industrial capabilities and democratic governance.","The post-World War I era in the United States witnessed intense political discussions regarding the control of technological and communication infrastructure, particularly railroads, telegraphs, and cables. These debates were emblematic of a larger struggle between the forces of industrialization and the democratic process, as seen in the unexpected political alliances and tensions within the Republican Party. This period marked a critical juncture where the control of technology and its implications for democratic governance and public policy were vigorously contested, setting the stage for future regulatory frameworks and governmental roles in technological management.","Source 2, Source 3","74c660a2-a94f-4cfc-9571-7111e4778745,8e26505d-cb49-4146-a5e9-8ea5338ac209,6e7c915f-13f1-4150-865d-642157c4a070","129dd865-ed24-468b-a764-9477fa2a8c5e,9a882159-f178-4f03-8182-95c492b7d5c5",3,2,2026-03-13 15:37:36.884087
3,1,Claude S. Fischer,3,The telephone played a significant role in facilitating and shaping political and labor movements in early 20th century America by providing a means of rapid communication and organization among workers and activists.,,"Source 2, Source 3","0e20217e-4cb3-44c8-b078-19dd73da17f0,78ea8b28-d6de-4b7c-a38c-da0aeaf205fa,628b5c9e-4d3b-450e-bba6-f35fa895d266","11cdefcd-b9ab-4b25-92cc-72f1bd9de869,ca9b1297-8b4d-49cb-bfd3-bc5baf50f809",3,2,2026-03-13 15:37:36.885994
4,2,John Marincola,1,"The evolution of historical narratives in regional newspapers reflects the broader socio-political dynamics and ideological shifts of their time, demonstrating the interplay between local context and broader national discourses.","The textual analysis of ""The Idaho World"" (1874) and ""The Catholic Times"" (1954) reveals how regional newspapers served as platforms for negotiating local identities within the framework of larger national narratives. ""The Idaho World"" serves as a reflection of the localized concerns and contested interpretations of civic matters, such as school reporting, indicative of the tension between community voices and external authorities. Meanwhile, ""The Catholic Times"" encapsulates the integration of religious liturgical practices into daily life, illustrating how religious institutions mediated cultural and temporal transitions. These sources demonstrate the role of newspapers in shaping and reflecting regional identities, offering insights into how historical narratives are constructed and disseminated.","Source 1, Source 2","6e6c4af1-9c25-405d-b877-40e347c213d2,6cbb375f-7902-430b-a8e7-af7c50adce9c,e031a8a3-18aa-432c-94df-0ceb37cab297","69b4fab1-0e1c-455f-96c9-899855d08ff3,0a55a513-5e08-45d4-8825-92754c1c4294",3,2,2026-03-13 15:37:57.471778
5,2,Nancy C. M. Hartsock,2,"The participation of women in traditionally male-dominated labor sectors during periods of crisis, such as World War I, reveals underlying shifts in the sexual division of labor, which continue to shape gender roles in later technological and professional environments.","The historical involvement of women in the workforce, exemplified by their temporary employment on the Great Northern Railway during World War I, underscores a pivotal moment in the sexual division of labor. This shift not only reflects the economic necessity of female labor during times of male absence but also lays the groundwork for subsequent changes in gender roles within professional and technological domains. The persistence of women as integral participants in sectors traditionally dominated by men, as seen in the progression to roles within the technologically driven environments of the 1990s, highlights the evolving nature of labor roles and the enduring impact of wartime exigencies on gender dynamics.","Source 1, Source 2","9f351af7-d644-4d78-b621-0801c7a1134d,64e7021c-412f-4a01-8c21-f288e7b25dde,4305faea-0e0a-4787-b453-04aab98b37fa","649c6529-d9ff-4a1c-a60f-453764331032,ee1988ca-a4ef-48b1-8325-3774b33ce00d",3,2,2026-03-13 15:37:57.477961
6,2,David F. Noble,3,"The evolving mechanisms of political control and influence in 19th-century America were strategically manipulated by oligarchic interests to support imperialistic endeavors, particularly through the manipulation of electoral processes.","The late 19th century in America was marked by a significant shift towards imperialist policies, as evidenced by the manipulation of electoral mechanisms by a small, powerful oligarchic group. This period saw the strategic control of election processes to ensure the success of annexation projects, crucial for the economic and political expansion of these elite interests. By analyzing contemporary newspaper accounts such as those from ""The Osceola Times,"" it becomes evident how these oligarchic actors used their influence to orchestrate political outcomes favorable to annexation, thus emphasizing the interplay between economic ambitions and political control.","Source 2, Source 3","d0f094cc-9e36-4b23-a28d-9b5a38b835d2,2e54c66d-b223-4d21-b3e4-afc96b379038,d2adf589-32b7-469f-ba4c-35ac7b25f0e4","d8ecd69c-efc8-4b0c-825d-f3332ff0f5d8,1dc66c60-44ef-4b51-8019-282e91e9f1c8",3,2,2026-03-13 15:37:57.479298
7,3,David F. Noble,1,The intersection of technological advancement in media and the socio-political movements of the mid-20th century contributed to the dissemination and influence of civil rights and nationalist ideologies.,"The mid-20th century witnessed a significant intertwining of technology and socio-political movements, as evidenced by the role of media in disseminating information about civil rights and nationalist movements. The Omaha Guide's reporting on contributions to the NAACP highlights the use of media by African American communities to advance civil rights initiatives. Concurrently, the Spanish Falange's manifesto illustrates how nationalist ideologies leveraged textual dissemination to propagate fascist ideals. These examples underscore the dual role of media as both a tool for liberation and a vehicle for ideological dissemination, reflecting the complex dynamics of technological influence on society.","Source 1, Source 3","a19f74c0-be74-479a-82f1-b465fc3e4a6c,74c05a0e-d81e-468b-bea2-2c287ca9acad,060d20e0-0ef1-481b-afaf-530fbc248ab8","d8ecd69c-efc8-4b0c-825d-f3332ff0f5d8,149defdd-951f-4911-aba9-52e51d6ff405",3,2,2026-03-13 15:38:22.756180
8,3,Gyan Prakash,2,"The rhetoric of moral virtue and imperial ambition in historical narratives is often employed to rationalize and legitimize power structures and social hierarchies, reflecting the complexities of postcolonial identity formation as seen in both anti-slavery and annexation discourses.","The narratives found in the 19th-century anti-slavery movement and late 19th-century discussions on imperialism reveal a nuanced interplay of moral righteousness and political maneuvering. The Genius of Liberty text highlights the moral sublimity of anti-slavery efforts, casting them in a heroic light that resonates with postcolonial critiques of Western narratives of virtue. Similarly, the Osceola Times discourse on imperialism underscores the strategic manipulation of democratic processes by oligarchic forces, exposing the contradictions within the imperialist ideology. Both narratives exemplify how historical accounts are situated within a colonial framework that simultaneously challenges and reinforces established power structures, reflecting the hybrid and contested nature of postcolonial identities.","Source 1, Source 3","c747f7ef-8bbf-4ade-848b-30ca952fd538,150ec27c-4b5f-411d-a34f-32e80c87f366,d2adf589-32b7-469f-ba4c-35ac7b25f0e4","83611a63-14d9-436e-8304-64018db8b7f7,ad92b5fa-cd0a-4eca-9101-f844f92bd264",3,2,2026-03-13 15:38:22.757699
9,3,Claude S. Fischer,3,The integration of telecommunication and print media significantly influenced community engagement and social activism in early 20th-century America.,"The burgeoning accessibility and adoption of communication technologies such as the telephone and print media played a crucial role in shaping social structures and community dynamics in early 20th-century America. The telephone facilitated personal and community interactions, while print media, as evidenced by the reports on child labor and public library services, served as a platform for advocacy and dissemination of information. These technologies collectively supported community-oriented initiatives and social reforms, enhancing public awareness and participation in civic matters.","Source 1, Source 2","1f45fae6-7dd5-44f4-9ced-93dbec1baa20,6cf86fb4-a096-4a7b-b4cb-ce20b1c395fc,049fc460-a9a7-4cdc-abcb-7a9c76020c1b","35fd8329-2a1b-4842-b1d0-07aa00edc40d,5ffb37a9-148f-4580-8e58-4e3103d512f7",3,2,2026-03-13 15:38:22.759229
10,4,David F. Noble,1,"The portrayal and utilization of military bases and airpower during wartime are strategically influenced by geopolitical considerations and alliances, as evidenced by narratives and decisions from World War II.","The December 1943 article from the Evening Star highlights the strategic deliberations of the United States during World War II, particularly regarding the use of Siberian bases to attack Japan. The narrative reflects the geopolitical complexities of the era, emphasizing the potential diplomatic consequences of involving the Soviet Union in the Pacific theater. This underscores the broader theme of how military and technological advances, such as airpower, are often contingent upon diplomatic relations and the geopolitical landscape. Such considerations are critical in understanding the historical interplay between military strategy and international diplomacy.","Source 1, Image 40 of Evening star (Washington, D.C.), December 9, 1943 Image 1, MAJESTIC 12 Files","50f26650-c0ff-4f30-a211-e1600a5ddb9b,a90d291f-9aef-4aab-8f22-8fc3ea616488,00d99515-bf92-4d9f-9dce-05b973d0e25f","34d9f91d-b44c-4441-af76-24eb652bbb5b,88e43611-38e3-4c47-bd69-9edbf88a0fc1",3,2,2026-03-13 15:38:44.784715
